Awaiting,"CNIC Mismatch",Date,Death,Driver,Evening,Leave,"Left Job","Night Shift","Not Surveyd",Other,"Other Duty",Present,"Present without Uniform",Retired,Surveyed,Total,Transfer,"Valid Absent",Zone,week,year
0,0,2017-11-21,0,2,0,5,21,9,0,32,4,281,32,1,400,400,8,5,PDLBC,47,2017
0,0,2017-11-24,0,1,0,11,1,0,15,15,1,109,32,2,187,202,8,7,"Project Gulshan-e-Iqbal Park",47,2017
0,0,2017-11-23,3,15,0,26,20,39,5,57,49,483,184,18,972,977,5,73,V,47,2017
0,0,2017-11-23,0,0,0,1,12,0,123,16,3,46,16,3,124,247,7,20,VI,47,2017
0,0,2017-11-22,0,5,0,10,9,5,1,12,2,214,26,5,309,310,2,19,VII,47,2017
245,0,2017-11-28,0,0,50,2,6,10,190,21,3,107,33,1,494,684,10,6,GIP,48,2017
188,0,2017-11-28,0,1,14,8,0,3,1925,5,11,92,61,3,403,2328,1,16,I,48,2017
218,0,2017-11-29,0,0,0,0,0,0,782,0,0,7,21,0,254,1036,0,8,II,48,2017
1234,0,2017-11-29,0,0,0,0,0,0,134,1,0,22,14,0,1282,1416,2,9,III,48,2017
270,0,2017-11-27,1,4,25,22,13,20,2475,20,0,426,137,4,989,3464,13,34,IV,48,2017
112,0,2017-11-27,3,1,0,15,13,21,324,40,2,71,98,1,405,729,3,25,JillaniPark,48,2017
190,0,2017-11-29,0,0,0,0,0,0,592,0,1,11,3,0,208,800,0,3,PDLBC,48,2017
0,0,2017-11-27,0,1,0,20,1,0,388,19,0,121,31,2,218,606,8,15,"Project Gulshan-e-Iqbal Park",48,2017
848,0,2017-11-29,0,0,2,2,0,0,1028,6,0,29,23,0,928,1956,0,18,V,48,2017
214,0,2017-11-29,0,0,0,0,0,0,218,0,0,5,5,0,228,446,0,4,VI,48,2017
74,0,2017-11-29,0,0,0,0,0,0,524,0,0,1,2,0,82,606,0,5,VII,48,2017
0,0,2017-12-05,0,0,0,4,6,11,-1,26,0,126,35,1,229,228,10,10,GIP,49,2017
0,0,2017-12-08,0,14,44,26,5,9,675,41,22,495,164,14,885,1560,11,40,I,49,2017
0,0,2017-12-06,3,8,40,5,45,30,563,39,17,540,44,3,842,1405,19,49,III,49,2017
0,0,2017-12-05,3,1,64,2,14,23,2,20,2,22,78,1,241,243,3,8,JillaniPark,49,2017
0,0,2017-12-06,0,1,14,2,19,9,0,33,12,275,20,0,401,401,4,12,PDLBC,49,2017
0,0,2017-12-05,0,1,35,11,1,0,14,8,0,92,25,2,188,202,6,7,"Project Gulshan-e-Iqbal Park",49,2017
0,0,2017-12-07,4,16,68,7,23,36,879,147,45,412,202,21,1071,1950,5,85,V,49,2017
0,0,2017-12-11,0,0,50,6,6,11,-1,20,1,87,29,2,228,227,7,9,GIP,50,2017
0,0,2017-12-15,0,7,2,1,15,2,-1,29,43,61,181,2,353,352,2,8,GORs,50,2017
0,0,2017-12-12,1,2,34,8,4,18,-1,16,11,117,258,5,519,518,11,34,II,50,2017
162,0,2017-12-13,6,6,46,26,18,9,319,58,19,692,309,9,1410,1729,15,35,IV,50,2017
0,0,2017-12-15,0,6,13,6,20,9,0,36,25,237,29,0,401,401,1,19,PDLBC,50,2017
0,0,2017-12-16,0,1,33,16,1,0,14,10,0,93,18,2,187,201,6,7,"Project Gulshan-e-Iqbal Park",50,2017
0,0,2017-12-11,6,28,129,42,38,68,80,194,80,740,358,44,1871,1951,13,131,V,50,2017
0,0,2017-12-15,1,2,12,5,2,8,6,11,1,114,25,5,216,222,10,20,VI,50,2017
0,0,2017-12-12,0,4,13,10,2,5,2,9,3,208,34,4,302,304,1,9,VII,50,2017
167,0,2017-12-19,0,0,45,8,0,12,-2,20,3,126,42,0,432,430,6,3,GIP,51,2017
62,0,2017-12-20,0,3,0,1,0,2,481,23,6,33,49,0,190,671,2,9,GORs,51,2017
253,0,2017-12-18,0,17,40,60,6,16,475,98,88,913,239,21,1840,2315,18,71,I,51,2017
163,0,2017-12-20,1,7,1,12,2,18,309,23,2,149,267,1,709,1018,8,55,II,51,2017
587,0,2017-12-20,0,0,0,0,1,0,37,5,0,24,24,0,649,686,2,6,III,51,2017
524,0,2017-12-19,0,8,40,17,4,9,1077,37,78,449,195,1,1431,2508,15,54,IV,51,2017
138,0,2017-12-20,0,1,2,6,1,2,48,22,20,78,123,0,406,454,5,8,JillaniPark,51,2017
183,0,2017-12-20,0,5,1,3,2,10,174,80,60,184,30,0,584,758,6,20,PDLBC,51,2017
0,0,2017-12-20,0,1,0,14,0,0,198,13,0,137,27,1,200,398,6,1,"Project Gulshan-e-Iqbal Park",51,2017
625,0,2017-12-20,0,0,0,1,0,1,206,7,0,44,27,0,729,935,1,23,V,51,2017
104,0,2017-12-20,0,0,0,0,0,0,106,0,0,0,3,0,112,218,0,5,VI,51,2017
100,0,2017-12-20,0,0,0,0,0,0,480,3,0,3,6,0,116,596,0,4,VII,51,2017
24,0,2017-12-27,0,0,0,9,1,11,178,19,1,127,48,1,250,428,5,4,GIP,52,2017
63,0,2017-12-30,0,0,0,0,0,0,273,0,0,0,0,0,65,338,0,2,GORs,52,2017
89,0,2017-12-30,0,0,1,0,0,0,671,1,0,3,2,0,97,768,0,1,I,52,2017
116,0,2017-12-28,1,10,0,11,1,19,374,26,18,129,241,1,644,1018,11,60,II,52,2017
583,0,2017-12-29,2,4,0,6,11,25,81,41,11,458,67,1,1295,1376,12,74,III,52,2017
117,0,2017-12-27,2,4,10,21,5,22,693,28,42,475,200,0,978,1671,9,43,IV,52,2017
0,0,2017-12-30,0,0,7,0,0,0,204,2,0,4,7,0,24,228,0,4,JillaniPark,52,2017
81,0,2017-12-30,0,0,0,0,0,0,288,1,1,3,4,0,91,379,0,1,PDLBC,52,2017
0,0,2017-12-26,0,0,0,11,0,0,198,16,1,124,30,1,200,398,6,11,"Project Gulshan-e-Iqbal Park",52,2017
350,0,2017-12-30,0,0,1,0,0,0,548,6,0,19,8,0,387,935,0,3,V,52,2017
66,0,2017-12-26,0,4,0,12,5,16,150,20,12,212,55,2,483,633,14,65,VI,52,2017
33,0,2017-12-26,0,6,0,18,2,10,265,34,7,399,63,3,629,894,2,52,VII,52,2017
0,0,2018-01-01,0,0,0,7,0,10,-1,29,1,113,39,1,215,214,6,9,GIP,0,2018
0,0,2018-01-01,0,11,2,4,2,4,211,26,72,72,246,1,465,676,4,21,GORs,0,2018
0,0,2018-01-04,0,9,0,20,3,9,1,32,23,497,112,13,768,769,10,40,I,0,2018
0,0,2018-01-06,2,6,0,11,2,19,-1,15,2,128,275,2,509,508,6,41,II,0,2018
0,0,2018-01-03,2,5,0,5,18,25,3,45,26,428,60,2,685,688,13,56,III,0,2018
0,0,2018-01-05,2,5,0,25,7,21,18,40,9,454,206,1,817,835,7,40,IV,0,2018
0,0,2018-01-01,0,1,0,2,0,1,25,41,5,42,93,1,203,228,6,11,JillaniPark,0,2018
0,0,2018-01-03,0,4,0,3,2,9,0,22,17,268,36,0,379,379,4,14,PDLBC,0,2018
0,0,2018-01-01,0,1,0,16,0,0,15,10,1,115,17,1,184,199,7,16,"Project Gulshan-e-Iqbal Park",0,2018
0,0,2018-01-02,0,13,1,13,4,36,1,71,28,469,231,4,934,935,5,59,V,0,2018
24,0,2018-01-08,0,0,0,4,1,11,178,27,2,126,43,1,250,428,5,6,GIP,1,2018
63,0,2018-01-10,0,0,0,0,0,0,274,0,0,0,1,0,65,339,0,1,GORs,1,2018
101,0,2018-01-10,0,12,0,20,4,6,659,44,17,512,113,7,877,1536,2,39,I,1,2018
116,0,2018-01-10,2,12,0,14,1,18,372,20,3,130,279,2,643,1015,2,44,II,1,2018
595,0,2018-01-10,0,0,0,0,0,0,69,2,0,4,11,0,619,688,0,7,III,1,2018
129,0,2018-01-10,0,2,0,17,2,18,1975,25,2,131,141,1,532,2507,1,63,IV,1,2018
0,0,2018-01-09,0,0,0,5,1,0,229,27,6,49,123,0,227,456,6,10,JillaniPark,1,2018
96,0,2018-01-09,0,5,0,4,2,8,273,29,10,267,27,0,483,756,8,27,PDLBC,1,2018
0,0,2018-01-09,0,1,0,14,0,0,198,12,0,128,31,1,198,396,6,5,"Project Gulshan-e-Iqbal Park",1,2018
426,0,2018-01-10,0,13,0,13,5,36,493,118,24,438,243,3,1373,1866,4,50,V,1,2018
115,0,2018-01-08,0,2,0,7,3,10,92,10,5,111,35,1,329,421,10,20,VI,1,2018
33,0,2018-01-08,0,3,1,8,4,5,262,10,17,183,44,0,334,596,2,24,VII,1,2018
162,0,2018-01-17,0,0,1,6,2,10,-2,22,1,136,72,1,432,430,2,17,GIP,2,2018
63,0,2018-01-17,0,6,0,4,2,2,272,59,8,41,197,1,404,676,0,21,GORs,2,2018
99,0,2018-01-20,0,0,0,0,0,0,655,1,0,1,4,0,108,763,0,3,I,2,2018
117,0,2018-01-20,0,0,0,0,0,0,365,0,0,2,10,0,135,500,0,6,II,2,2018
579,0,2018-01-15,1,7,0,6,7,27,73,48,12,426,88,2,1275,1348,5,67,III,2,2018
119,0,2018-01-18,2,5,10,25,5,0,684,52,12,464,225,2,985,1669,2,62,IV,2,2018
113,0,2018-01-17,0,2,0,9,1,0,58,37,5,75,146,0,398,456,4,6,JillaniPark,2,2018
86,0,2018-01-16,0,4,0,7,3,9,278,28,6,271,31,1,469,747,0,23,PDLBC,2,2018
0,0,2018-01-17,0,1,0,5,0,0,148,28,1,131,47,2,230,378,2,13,"Project Gulshan-e-Iqbal Park",2,2018
395,0,2018-01-19,0,11,2,6,5,34,517,64,47,475,234,3,1337,1854,2,59,V,2,2018
91,0,2018-01-15,0,0,0,4,4,10,114,9,5,115,33,0,304,418,0,33,VI,2,2018
33,0,2018-01-16,0,2,0,11,2,5,259,8,4,179,51,1,333,592,0,37,VII,2,2018
0,0,2018-01-24,0,8,0,3,3,2,-1,7,78,53,172,1,339,338,1,11,GORs,3,2018
0,0,2018-01-22,0,13,0,16,4,6,1,35,14,486,107,9,762,763,3,69,I,3,2018
0,0,2018-01-24,4,14,0,10,2,34,-2,39,8,230,580,8,1003,1001,4,70,II,3,2018
0,0,2018-01-23,1,7,0,14,23,30,465,36,5,576,111,1,878,1343,7,67,III,3,2018
0,0,2018-01-23,0,6,0,12,5,15,100,26,20,447,60,0,646,746,8,47,PDLBC,3,2018
0,0,2018-01-27,1,0,0,3,3,9,6,4,5,109,32,0,202,208,0,36,VI,3,2018
0,0,2018-01-27,0,1,0,15,1,4,0,12,8,179,59,2,294,294,0,13,VII,3,2018
169,0,2018-01-31,0,0,0,0,0,0,-1,1,0,16,29,0,216,215,0,1,GIP,4,2018
63,0,2018-01-30,0,12,5,8,3,3,271,60,60,83,417,2,742,1013,3,23,GORs,4,2018
85,0,2018-01-31,0,0,0,0,0,0,671,0,0,4,1,0,92,763,0,2,I,4,2018
106,0,2018-01-31,7,2,0,17,4,33,377,30,10,225,580,6,1126,1503,1,105,II,4,2018
460,0,2018-01-30,1,6,29,5,24,23,188,44,3,441,72,1,1148,1336,0,39,III,4,2018
0,0,2018-01-29,2,6,0,21,5,0,9,44,19,459,203,4,823,832,5,55,IV,4,2018
120,0,2018-01-31,0,0,0,2,0,0,34,3,0,22,44,0,194,228,0,3,JillaniPark,4,2018
0,0,2018-02-03,0,0,0,0,0,0,0,0,0,0,15,0,38,38,0,23,"PD Ring Road",4,2018
87,0,2018-01-31,0,0,0,0,0,0,275,0,0,7,2,0,96,371,0,0,PDLBC,4,2018
17,0,2018-01-31,0,0,0,1,0,0,133,1,0,18,17,0,56,189,0,2,"Project Gulshan-e-Iqbal Park",4,2018
392,0,2018-01-31,0,0,0,0,0,0,500,0,0,13,14,0,426,926,0,7,V,4,2018
75,0,2018-01-31,0,0,0,0,0,0,124,0,0,1,7,0,84,208,0,1,VI,4,2018
30,0,2018-01-31,0,0,0,0,0,0,261,0,0,0,3,0,33,294,0,0,VII,4,2018
0,0,2018-02-06,0,12,0,23,5,7,1,41,19,471,111,7,762,763,2,64,I,5,2018
0,0,2018-02-08,0,6,0,9,15,24,9,25,3,443,82,1,646,655,0,38,III,5,2018
2,0,2018-02-09,2,3,0,17,6,13,37,37,11,481,178,3,795,832,2,40,IV,5,2018
0,0,2018-02-10,0,2,1,8,2,1,21,32,4,61,85,0,206,227,4,6,JillaniPark,5,2018
0,0,2018-02-07,0,0,0,1,0,0,0,0,0,0,16,0,39,39,0,22,"PD Ring Road",5,2018
0,0,2018-02-10,0,2,0,12,0,13,8,4,2,38,146,0,230,238,0,13,"PHA Office Staff",5,2018
0,0,2018-02-07,0,6,0,10,9,37,1,79,21,473,222,4,924,925,2,61,V,5,2018
0,0,2018-02-08,0,3,0,5,1,4,0,5,2,209,44,2,295,295,0,20,VII,5,2018
9,0,2018-02-13,0,0,0,7,1,1,363,20,3,145,60,1,261,624,5,9,GIP,6,2018
80,0,2018-02-12,0,10,6,3,2,3,796,62,15,82,243,1,542,1338,1,34,GORs,6,2018
172,0,2018-02-14,0,13,28,28,2,8,1340,29,18,446,122,13,947,2287,4,64,I,6,2018
211,0,2018-02-14,0,0,0,0,0,0,754,2,0,7,15,0,242,996,0,7,II,6,2018
877,0,2018-02-14,0,0,1,0,0,0,410,5,0,21,33,0,950,1360,0,13,III,6,2018
270,0,2018-02-14,0,0,11,3,1,0,2122,8,0,23,42,0,368,2490,0,10,IV,6,2018
0,0,2018-02-12,0,3,0,9,2,1,367,65,4,73,145,0,314,681,0,12,JillaniPark,6,2018
174,0,2018-02-13,0,3,0,7,5,9,548,18,9,278,32,0,562,1110,0,27,PDLBC,6,2018
84,0,2018-02-14,0,2,4,8,0,0,649,7,1,38,147,0,301,950,7,3,"PHA Office Staff",6,2018
0,0,2018-02-12,1,0,2,21,0,0,329,21,1,125,38,1,238,567,0,28,"Project Gulshan-e-Iqbal Park",6,2018
824,0,2018-02-14,0,0,0,0,0,0,903,6,0,24,24,0,901,1804,0,23,V,6,2018
113,0,2018-02-13,1,2,0,2,2,6,289,2,5,108,45,3,335,624,0,46,VI,6,2018
71,0,2018-02-14,0,0,0,0,0,0,510,0,0,0,3,0,78,588,0,4,VII,6,2018
40,0,2018-02-21,2,0,19,12,2,6,258,20,10,88,514,0,730,988,2,15,"ENGINEERING DIRECTORATE",7,2018
7,0,2018-02-22,0,0,0,2,2,0,8,13,2,115,46,1,195,203,3,4,GIP,7,2018
0,0,2018-02-18,0,0,0,0,0,0,761,0,0,0,0,0,0,761,0,0,I,7,2018
0,0,2018-02-24,3,8,0,7,1,16,-1,29,8,109,264,4,500,499,2,49,II,7,2018
0,0,2018-02-19,2,5,0,19,4,22,112,41,50,381,144,3,717,829,3,43,IV,7,2018
0,0,2018-02-20,0,0,0,3,0,0,0,3,0,0,14,0,36,36,0,16,"PD Ring Road",7,2018
0,0,2018-02-23,1,5,0,3,5,8,0,10,10,259,34,0,362,362,5,22,PDLBC,7,2018
413,0,2018-02-19,0,4,4,4,0,0,686,7,3,51,136,0,637,1323,7,8,"PHA Office Staff",7,2018
9,0,2018-02-22,1,0,0,5,0,0,15,6,2,101,42,1,174,189,2,5,"Project Gulshan-e-Iqbal Park",7,2018
0,0,2018-02-20,0,14,0,8,8,36,2,51,16,512,193,6,902,904,0,58,V,7,2018
0,0,2018-02-23,2,1,8,4,2,8,5,5,1,112,27,2,202,207,4,26,VI,7,2018
0,0,2018-02-23,0,2,0,8,3,3,0,5,3,204,53,1,294,294,0,12,VII,7,2018
49,0,2018-02-26,1,0,38,2,0,21,801,3,1,6,57,0,188,989,0,10,"ENGINEERING DIRECTORATE",8,2018
0,0,2018-02-27,0,0,1,8,2,0,244,15,0,100,29,1,162,406,2,4,GIP,8,2018
63,0,2018-02-27,0,6,3,2,3,2,265,17,25,54,211,1,397,662,0,10,GORs,8,2018
105,0,2018-02-28,0,9,0,13,5,9,650,25,11,518,130,9,876,1526,2,40,I,8,2018
111,0,2018-02-28,0,0,0,0,0,0,372,0,0,3,9,0,127,499,0,4,II,8,2018
447,0,2018-02-26,0,4,0,8,20,19,212,31,3,445,116,1,1140,1352,2,44,III,8,2018
136,0,2018-02-28,0,0,0,1,0,0,641,5,0,16,17,0,183,824,0,8,IV,8,2018
0,0,2018-02-27,0,1,2,11,3,1,225,23,5,58,113,0,225,450,4,4,JillaniPark,8,2018
0,0,2018-03-03,0,0,0,1,0,0,0,1,0,0,5,0,35,35,0,28,"PD Ring Road",8,2018
85,0,2018-02-28,0,0,0,0,0,0,268,0,0,4,5,0,94,362,0,0,PDLBC,8,2018
0,0,2018-02-27,1,0,0,14,0,0,223,9,0,95,26,1,155,378,1,8,"Project Gulshan-e-Iqbal Park",8,2018
377,0,2018-02-28,0,14,7,14,8,37,499,58,26,486,203,5,1326,1825,1,90,V,8,2018
83,0,2018-02-28,0,0,0,0,0,0,115,0,0,0,6,0,92,207,0,3,VI,8,2018
35,0,2018-02-28,0,0,0,0,0,0,255,1,0,0,1,0,39,294,0,2,VII,8,2018
7,0,2018-03-05,0,0,18,6,1,9,1898,1,6,44,69,0,176,2074,0,15,"ENGINEERING DIRECTORATE",9,2018
0,0,2018-03-09,0,0,5,4,1,1,245,13,2,91,34,1,163,408,4,7,GIP,9,2018
63,0,2018-03-09,0,6,2,1,1,2,264,29,9,57,214,1,396,660,0,11,GORs,9,2018
111,0,2018-03-10,0,0,0,0,0,0,647,1,0,1,2,0,119,766,0,4,I,9,2018
105,0,2018-03-08,3,1,0,7,2,15,378,29,1,111,295,4,618,996,0,45,II,9,2018
445,0,2018-03-06,0,5,0,8,15,25,209,29,1,459,104,1,1147,1356,0,55,III,9,2018
146,0,2018-03-05,2,6,3,10,6,23,660,46,25,455,199,3,982,1642,2,56,IV,9,2018
0,0,2018-03-07,0,1,0,8,2,0,220,28,3,49,121,0,219,439,3,4,JillaniPark,9,2018
87,0,2018-03-06,0,4,0,2,5,9,267,26,3,270,31,0,456,723,0,19,PDLBC,9,2018
10,0,2018-03-07,2,1,0,22,0,0,238,18,0,188,61,2,329,567,1,24,"Project Gulshan-e-Iqbal Park",9,2018
369,0,2018-03-10,0,0,1,0,0,0,507,0,0,19,7,0,407,914,1,10,V,9,2018
75,0,2018-03-08,2,0,0,1,1,7,116,3,2,106,56,2,282,398,0,27,VI,9,2018
24,0,2018-03-07,0,3,0,6,3,4,265,8,0,195,58,1,321,586,0,19,VII,9,2018
90,0,2018-03-12,0,0,21,5,0,18,1830,1,2,18,116,0,306,2136,0,35,"ENGINEERING DIRECTORATE",10,2018
0,0,2018-03-17,0,0,0,7,2,3,8,14,1,150,64,1,260,268,0,18,GIP,10,2018
150,0,2018-03-17,0,2,3,0,0,2,-1,9,4,46,103,0,331,330,0,12,GORs,10,2018
276,0,2018-03-12,0,11,2,30,5,6,1148,34,11,544,141,14,1151,2299,1,76,I,10,2018
567,0,2018-03-13,0,8,3,15,17,23,668,33,1,507,126,1,1365,2033,0,64,III,10,2018
33,0,2018-03-15,0,0,0,2,0,0,0,0,0,13,2,0,68,68,0,18,"PD Ring Road",10,2018
165,0,2018-03-13,0,7,10,14,9,14,329,20,11,429,38,0,757,1086,6,34,PDLBC,10,2018
76,0,2018-03-16,0,0,0,0,0,0,398,0,0,1,3,0,94,492,0,14,"PHA Office Staff",10,2018
617,0,2018-03-15,0,11,2,17,9,33,229,43,18,579,205,6,1599,1828,0,59,V,10,2018
58,0,2018-03-14,0,3,0,8,3,3,218,6,3,195,59,1,368,586,0,29,VII,10,2018
12,0,2018-03-21,2,1,111,9,1,44,124,8,7,25,173,0,433,557,0,40,"ENGINEERING DIRECTORATE",11,2018
0,0,2018-03-22,0,7,5,2,1,0,-1,34,5,37,223,1,332,331,0,17,GORs,11,2018
0,0,2018-03-19,3,8,0,7,2,14,-1,29,1,97,288,4,497,496,2,42,II,11,2018
0,0,2018-03-20,2,6,0,21,5,20,15,21,27,475,173,4,807,822,2,51,IV,11,2018
0,0,2018-03-22,0,1,73,1,1,0,17,4,4,27,92,0,213,230,1,9,JillaniPark,11,2018
62,0,2018-03-19,0,0,1,0,0,0,1881,0,0,10,38,0,112,1993,0,1,"PHA Office Staff",11,2018
0,0,2018-03-22,1,1,0,6,0,0,47,7,0,87,25,1,141,188,2,11,"Project Gulshan-e-Iqbal Park",11,2018
0,0,2018-03-21,2,0,12,3,3,7,-1,5,0,91,39,0,202,201,0,40,VI,11,2018
140,0,2018-03-26,0,0,8,1,0,3,1406,5,0,20,60,0,269,1675,2,30,"ENGINEERING DIRECTORATE",12,2018
0,0,2018-03-29,0,0,4,13,3,1,326,22,0,113,44,1,212,538,0,11,GIP,12,2018
0,0,2018-03-30,0,9,5,4,1,1,271,27,20,64,241,1,391,662,0,18,GORs,12,2018
0,0,2018-03-26,0,5,22,16,1,4,3447,8,27,187,74,3,369,3816,2,20,I,12,2018
148,0,2018-03-26,1,2,6,4,0,2,1161,9,0,31,117,0,335,1496,0,15,II,12,2018
0,0,2018-03-26,0,6,34,4,10,19,1488,35,2,352,58,1,552,2040,0,31,III,12,2018
236,0,2018-03-26,2,4,50,11,3,9,3915,40,16,403,198,4,1058,4973,0,82,IV,12,2018
0,0,2018-03-26,0,0,0,0,0,0,0,0,0,10,2,0,31,31,0,19,"PD Ring Road",12,2018
0,0,2018-03-26,0,1,8,8,6,10,1091,17,5,247,19,0,349,1440,5,23,PDLBC,12,2018
0,0,2018-03-27,0,1,6,1,0,1,989,1,3,1,34,0,51,1040,0,3,"PHA Office Staff",12,2018
0,0,2018-03-29,1,0,0,13,0,0,188,13,0,127,22,1,188,376,0,11,"Project Gulshan-e-Iqbal Park",12,2018
0,0,2018-03-26,0,10,53,4,7,29,2141,76,10,299,97,4,619,2760,0,30,V,12,2018
128,0,2018-03-27,3,1,18,4,4,10,174,6,0,130,72,1,426,600,0,49,VI,12,2018
0,0,2018-03-26,0,1,2,2,0,1,264,1,0,14,7,1,30,294,0,1,VII,12,2018
99,0,2018-04-02,0,0,1,0,0,0,452,0,0,0,4,0,111,563,0,7,"ENGINEERING DIRECTORATE",13,2018
232,0,2018-04-02,0,0,0,1,3,0,22,2,0,1,2,0,246,268,0,5,GIP,13,2018
11,0,2018-04-02,0,0,0,0,0,0,485,0,0,0,2,0,13,498,0,0,II,13,2018
26,0,2018-04-02,0,0,0,0,0,0,647,0,0,0,1,0,27,674,0,0,III,13,2018
52,0,2018-04-02,0,0,0,1,0,0,507,4,0,53,23,0,137,644,1,3,"PHA Office Staff",13,2018
67,0,2018-04-02,0,0,0,0,0,0,846,0,0,0,7,1,75,921,0,0,V,13,2018
16,0,2018-04-02,0,0,0,0,0,0,277,0,0,0,1,0,17,294,0,0,VII,13,2018
